crop_code,crop,agricultural_class
G2,Wheat,GRAIN AND HAY CROPS
G6,Miscellaneous Grain and Hay,GRAIN AND HAY CROPS
R1,Rice,RICE
R2,Wild Rice,RICE
F1,Cotton,FIELD CROPS
F2,Safflower,FIELD CROPS
F5,Sugar beets,FIELD CROPS
F10,Beans (Dry),FIELD CROPS
F11,Miscellaneous Field Crops,FIELD CROPS
F12,Sunflowers,FIELD CROPS
F16,"Corn, Sorghum and Sudan",FIELD CROPS
P1,Alfalfa & Alfalfa Mixtures,PASTURE
P3,Mixed Pasture,PASTURE
P4,Native Pasture,PASTURE
P5,Induced high water table native pasture,PASTURE
P6,Miscellaneous Grasses,PASTURE
P7,Turf Farms,PASTURE
YP,Young Perennials,YOUNG PERENNIAL
T4,Cole Crops,"TRUCK, NURSERY, AND BERRY CROPS"
T6,Carrots,"TRUCK, NURSERY, AND BERRY CROPS"
T9,"Melons, Squash and Cucumbers","TRUCK, NURSERY, AND BERRY CROPS"
T10,Onions and Garlic,"TRUCK, NURSERY, AND BERRY CROPS"
T12,Potatoes,"TRUCK, NURSERY, AND BERRY CROPS"
T13,Sweet Potatoes,"TRUCK, NURSERY, AND BERRY CROPS"
T16,"Flowers, Nursery and Christmas Tree Farms","TRUCK, NURSERY, AND BERRY CROPS"
T18,Miscellaneous Truck Crops,"TRUCK, NURSERY, AND BERRY CROPS"
T19,Bush Berries,"TRUCK, NURSERY, AND BERRY CROPS"
T20,Strawberries,"TRUCK, NURSERY, AND BERRY CROPS"
T21,Peppers,"TRUCK, NURSERY, AND BERRY CROPS"
T27,Greenhouse,"TRUCK, NURSERY, AND BERRY CROPS"
T30,Lettuce/Leafy Greens,"TRUCK, NURSERY, AND BERRY CROPS"
T32,Tomatoes,"TRUCK, NURSERY, AND BERRY CROPS"
D1,Apples,DECIDUOUS FRUITS AND NUTS
D2,Apricots,DECIDUOUS FRUITS AND NUTS
D3,Cherries,DECIDUOUS FRUITS AND NUTS
D5,Peaches/Nectarines,DECIDUOUS FRUITS AND NUTS
D6,Pears,DECIDUOUS FRUITS AND NUTS
D7,Plums,DECIDUOUS FRUITS AND NUTS
D8,Prunes,DECIDUOUS FRUITS AND NUTS
D10,Miscellaneous Deciduous,DECIDUOUS FRUITS AND NUTS
D12,Almonds,DECIDUOUS FRUITS AND NUTS
D13,Walnuts,DECIDUOUS FRUITS AND NUTS
D14,Pistachios,DECIDUOUS FRUITS AND NUTS
D15,Pomegranates,DECIDUOUS FRUITS AND NUTS
D17,Pecans,DECIDUOUS FRUITS AND NUTS
C,Citrus,CITRUS AND SUBTROPICAL
C4,Dates,CITRUS AND SUBTROPICAL
C5,Avocados,CITRUS AND SUBTROPICAL
C6,Olives,CITRUS AND SUBTROPICAL
C7,Miscellaneous Subtropical Fruits,CITRUS AND SUBTROPICAL
C8,Kiwis,CITRUS AND SUBTROPICAL
C10,Eucalyptus,CITRUS AND SUBTROPICAL
V,Grapes,VINEYARDS
I1,Idle – Short Term,IDLE
I4,Idle – Long Term,IDLE
X,Unclassified Fallow,UNCLASSIFIED FALLOW
